Name,Value
smRoman,0
smJapanese,1
smTradChinese,2
smKorean,3
smArabic,4
smHebrew,5
smGreek,6
smCyrillic,7
smRSymbol,8
smDevanagari,9
smGurmukhi,10
smGujarati,11
smOriya,12
smBengali,13
smTamil,14
smTelugu,15
smKannada,16
smMalayalam,17
smSinhalese,18
smBurmese,19
smKhmer,20
smThai,21
smLao,22
smGeorgian,23
smArmenian,24
smSimpChinese,25
smTibetan,26
smMongolian,27
smEthiopic,28
smGeez,28
smCentralEuroRoman,29
smVietnamese,30
smExtArabic,31
smUninterp,32
